# range_bin,doppler_bin,angle_deg,snr,zone_flag
169.0,8,-0.3,101.1,0
140.0,8,0.1,101.1,1
68.0,8,0.0,101.1,0
79.0,8,0.4,101.2,0
58.0,8,0.3,101.2,0
57.0,8,0.3,101.2,0
55.0,8,-0.0,101.2,0
127.0,8,0.3,101.2,1
45.0,8,0.6,101.2,0
67.0,8,-0.0,101.2,0
147.0,8,-0.2,101.2,1
71.0,8,-0.1,101.2,0
170.0,8,-0.3,101.2,0
69.0,8,0.0,101.4,0
70.0,8,-0.0,101.5,0
73.0,8,-0.2,101.7,0
74.0,8,-0.0,101.8,0
75.0,8,0.4,101.3,0
76.0,8,1.1,101.3,0
63.0,8,-0.4,101.4,0
62.0,8,-0.4,101.5,0
61.0,8,-0.3,101.3,0
86.0,8,0.3,101.2,0
59.0,8,0.4,101.2,0
185.0,8,2.6,101.9,0
184.0,8,3.0,101.3,0
56.0,8,0.8,101.2,0
180.0,8,1.8,101.9,0
193.0,8,1.4,102.7,0
179.0,8,1.8,101.7,0
125.0,8,-1.3,101.6,1
126.0,8,-0.6,101.5,1
135.0,8,-0.8,101.4,1
136.0,8,-0.5,101.4,1
137.0,8,-0.3,102.0,1
186.0,8,12.2,101.3,0
138.0,8,-0.3,102.4,1
139.0,8,-0.3,101.6,1
141.0,8,79.9,101.2,1
150.0,8,-1.1,101.3,0
151.0,8,-7.5,101.4,0
176.0,8,4.8,101.3,0
161.0,8,-9.7,101.9,0
162.0,8,3.1,101.5,0
171.0,8,7.1,101.2,0
165.0,8,3.0,101.5,0
166.0,8,2.1,102.5,0
167.0,8,1.5,101.7,0
168.0,8,1.3,101.4,0
192.0,8,5.1,102.2,0
36.0,8,0.5,101.1,0
44.0,8,0.4,101.1,0
60.0,8,0.2,101.1,0
124.0,8,-0.2,101.1,1
183.0,8,-0.6,101.1,0
64.0,8,0.2,101.1,0
141.0,8,0.3,101.1,1
169.0,8,-0.2,101.1,0
67.0,8,0.0,101.1,0
123.0,8,-0.3,101.1,1
148.0,8,-0.1,101.1,1
55.0,8,0.0,101.1,0
45.0,8,0.5,101.1,0
140.0,8,0.2,101.1,1
72.0,8,-0.1,101.1,0
68.0,8,0.0,101.2,0
134.0,8,-0.2,101.2,1
171.0,8,0.1,101.2,0
170.0,8,-0.1,101.2,0
58.0,8,0.3,101.2,0
146.0,8,-0.3,101.2,1
57.0,8,0.3,101.2,0
49.0,8,0.3,101.2,0
174.0,8,0.6,101.2,0
127.0,8,0.6,101.2,1
175.0,8,0.4,101.2,0
71.0,8,-0.1,101.2,0
79.0,8,0.6,101.2,0
69.0,8,0.1,101.4,0
70.0,8,0.0,101.4,0
73.0,8,-0.1,101.7,0
74.0,8,0.1,101.7,0
75.0,8,0.5,101.3,0
76.0,8,1.1,101.3,0
63.0,8,-0.4,101.4,0
62.0,8,-0.5,101.5,0
61.0,8,-0.4,101.3,0
150.0,8,-0.1,101.3,0
59.0,8,0.2,101.2,0
86.0,8,-0.0,101.2,0
147.0,8,-1.3,101.3,1
56.0,8,0.7,101.2,0
168.0,8,0.4,101.4,0
167.0,8,0.6,101.7,0
135.0,8,-0.3,101.4,1
136.0,8,-0.2,101.3,1
186.0,8,10.5,101.4,0
179.0,8,3.5,101.9,0
162.0,8,-0.7,101.3,0
161.0,8,-11.5,101.9,0
139.0,8,-0.1,101.6,1
180.0,8,7.0,101.9,0
184.0,8,13.6,101.4,0
126.0,8,-0.2,101.5,1
176.0,8,4.5,101.3,0
125.0,8,-1.4,101.5,1
151.0,8,-48.5,101.4,0
185.0,8,22.8,102.0,0
192.0,8,5.9,102.3,0
137.0,8,-0.2,102.0,1
138.0,8,-0.3,102.3,1
165.0,8,1.4,102.0,0
166.0,8,1.3,102.6,0
193.0,8,6.4,102.8,0
78.0,8,0.2,101.1,0
142.0,8,0.2,101.1,1
44.0,8,0.4,101.1,0
50.0,8,0.2,101.1,0
77.0,8,0.2,101.1,0
170.0,8,-0.0,101.1,0
45.0,8,0.5,101.1,0
123.0,8,-0.3,101.1,1
64.0,8,0.1,101.1,0
169.0,8,-0.1,101.1,0
186.0,8,-0.1,101.4,0
86.0,8,0.3,101.2,0
168.0,8,-0.0,101.4,0
167.0,8,0.2,101.7,0
166.0,8,0.4,102.5,0
174.0,8,0.3,101.2,0
165.0,8,0.5,101.7,0
185.0,8,0.1,101.9,0
79.0,8,0.4,101.2,0
184.0,8,0.0,101.3,0
175.0,8,0.2,101.2,0
76.0,8,0.4,101.4,0
75.0,8,0.2,101.4,0
74.0,8,-0.0,101.8,0
73.0,8,-0.1,101.7,0
72.0,8,-0.1,101.2,0
71.0,8,-0.1,101.2,0
70.0,8,0.0,101.4,0
69.0,8,0.1,101.4,0
68.0,8,0.2,101.2,0
67.0,8,0.2,101.1,0
176.0,8,0.5,101.2,0
162.0,8,-0.1,101.5,0
192.0,8,0.6,102.3,0
63.0,8,-0.5,101.3,0
62.0,8,-0.5,101.5,0
125.0,8,-0.8,101.6,1
61.0,8,-0.5,101.2,0
126.0,8,-0.2,101.6,1
59.0,8,0.2,101.2,0
58.0,8,0.6,101.2,0
57.0,8,0.8,101.2,0
56.0,8,0.7,101.2,0
55.0,8,0.5,101.2,0
127.0,8,1.0,101.2,1
180.0,8,4.0,101.9,0
161.0,8,-6.9,102.0,0
134.0,8,-1.1,101.2,1
135.0,8,-0.7,101.3,1
49.0,8,4.8,101.2,0
171.0,8,6.4,101.2,0
136.0,8,-0.6,101.2,1
137.0,8,-0.5,102.0,1
138.0,8,-0.5,102.4,1
139.0,8,-0.5,101.6,1
140.0,8,-0.5,101.2,1
141.0,8,86.2,101.2,1
146.0,8,-44.2,101.2,1
147.0,8,-33.9,101.4,1
148.0,8,-40.2,101.1,1
150.0,8,-54.3,101.3,0
151.0,8,-54.8,101.3,0
179.0,8,7.9,101.9,0
193.0,8,5.5,102.7,0
134.0,8,-0.1,101.1,1
164.0,8,0.2,101.1,0
71.0,8,0.1,101.1,0
60.0,8,0.1,101.1,0
43.0,8,0.3,101.1,0
36.0,8,0.5,101.2,0
184.0,8,-0.2,101.2,0
67.0,8,0.1,101.2,0
92.0,8,0.2,101.2,1
91.0,8,0.2,101.2,1
68.0,8,0.1,101.2,0
166.0,8,0.4,101.2,0
167.0,8,0.2,101.2,0
180.0,8,-0.2,101.8,0
86.0,8,0.4,101.2,0
179.0,8,-0.2,101.8,0
125.0,8,-0.4,101.7,1
185.0,8,0.1,101.8,0
186.0,8,0.0,101.4,0
126.0,8,-0.2,101.8,1
127.0,8,0.0,101.4,1
79.0,8,0.3,101.3,0
78.0,8,0.3,101.2,0
77.0,8,0.4,101.3,0
76.0,8,0.3,101.4,0
75.0,8,0.3,101.6,0
74.0,8,0.2,102.0,0
73.0,8,0.1,101.5,0
128.0,8,0.5,101.3,1
132.0,8,-0.7,101.2,1
70.0,8,0.1,101.4,0
69.0,8,0.2,101.3,0
135.0,8,-0.4,101.4,1
136.0,8,-0.3,101.3,1
137.0,8,-0.3,102.0,1
139.0,8,-0.0,101.7,1
64.0,8,-0.4,101.3,0
63.0,8,-0.8,101.4,0
62.0,8,-0.9,101.4,0
61.0,8,-0.9,101.3,0
140.0,8,1.0,101.4,1
59.0,8,-0.3,101.2,0
58.0,8,0.2,101.2,0
57.0,8,0.8,101.2,0
56.0,8,1.2,101.3,0
55.0,8,1.5,101.3,0
141.0,8,33.9,101.5,1
142.0,8,66.3,101.3,1
146.0,8,-1.8,101.2,1
147.0,8,-2.4,101.3,1
50.0,8,3.2,101.2,0
49.0,8,4.4,101.2,0
148.0,8,-3.7,101.4,1
45.0,8,5.5,101.2,0
44.0,8,-1.2,101.2,0
150.0,8,-9.6,101.3,0
163.0,8,2.6,101.6,0
151.0,8,-15.1,101.3,0
168.0,8,7.4,101.3,0
192.0,8,6.4,102.1,0
138.0,8,0.7,102.4,1
161.0,8,2.0,102.2,0
162.0,8,2.3,102.2,0
193.0,8,7.7,102.5,0
183.0,8,-0.7,101.1,0
58.0,8,0.2,101.1,0
60.0,8,0.2,101.1,0
57.0,8,0.2,101.1,0
43.0,8,0.3,101.1,0
184.0,8,-0.3,101.1,0
192.0,8,-0.3,102.3,0
92.0,8,0.2,101.2,1
125.0,8,-0.3,101.3,1
126.0,8,-0.1,101.7,1
127.0,8,-0.1,101.3,1
128.0,8,-0.0,101.4,1
87.0,8,0.3,101.1,0
129.0,8,-0.1,101.5,1
132.0,8,-0.3,101.4,1
133.0,8,-0.3,101.1,1
135.0,8,-0.2,101.2,1
136.0,8,-0.2,101.3,1
137.0,8,-0.2,102.0,1
80.0,8,0.1,101.1,0
79.0,8,0.1,101.3,0
78.0,8,0.1,101.3,0
77.0,8,0.2,101.4,0
76.0,8,0.2,101.3,0
75.0,8,0.2,101.7,0
74.0,8,0.2,101.6,0
138.0,8,-0.3,102.4,1
139.0,8,-0.2,101.7,1
140.0,8,0.1,101.6,1
70.0,8,0.0,101.1,0
141.0,8,0.7,101.8,1
142.0,8,1.5,101.7,1
143.0,8,2.0,101.3,1
146.0,8,-0.4,101.3,1
147.0,8,-0.7,101.2,1
64.0,8,-0.5,101.3,0
63.0,8,-0.8,101.4,0
62.0,8,-1.0,101.4,0
61.0,8,-0.9,101.3,0
148.0,8,-1.0,101.4,1
59.0,8,-0.0,101.2,0
149.0,8,-0.8,101.2,1
150.0,8,-0.6,101.2,0
56.0,8,1.6,101.3,0
55.0,8,1.6,101.3,0
151.0,8,-1.6,101.3,0
156.0,8,-3.9,101.2,0
157.0,8,-3.0,101.1,0
161.0,8,4.4,101.7,0
162.0,8,3.4,101.8,0
163.0,8,3.1,101.5,0
164.0,8,3.0,102.1,0
165.0,8,3.3,102.3,0
166.0,8,3.9,101.5,0
167.0,8,5.1,101.3,0
168.0,8,7.3,101.4,0
170.0,8,13.4,101.2,0
171.0,8,13.6,101.5,0
174.0,8,12.8,101.1,0
179.0,8,9.6,101.7,0
180.0,8,10.0,101.8,0
185.0,8,26.3,101.8,0
186.0,8,38.8,101.5,0
193.0,8,-4.2,102.6,0
81.0,8,0.1,101.0,0
92.0,8,0.2,101.0,1
65.0,8,0.1,101.0,0
70.0,8,0.0,101.0,0
178.0,8,-0.1,101.0,0
147.0,8,-0.1,101.1,1
60.0,8,0.2,101.1,0
158.0,8,-0.2,101.1,0
161.0,8,0.5,101.3,0
186.0,8,-0.2,101.5,0
170.0,8,-0.4,101.3,0
157.0,8,-0.3,101.1,0
184.0,8,-0.3,101.3,0
167.0,8,-0.0,101.9,0
183.0,8,-0.5,101.1,0
180.0,8,0.0,101.8,0
179.0,8,0.2,101.8,0
80.0,8,0.1,101.1,0
79.0,8,0.0,101.2,0
78.0,8,0.0,101.3,0
77.0,8,0.1,101.3,0
76.0,8,0.1,101.1,0
75.0,8,0.2,101.4,0
177.0,8,0.6,101.1,0
176.0,8,0.7,101.4,0
175.0,8,0.7,101.2,0
174.0,8,0.6,101.3,0
126.0,8,-0.1,101.4,1
127.0,8,0.0,101.1,1
128.0,8,0.0,101.3,1
129.0,8,-0.2,101.5,1
132.0,8,-1.3,101.2,1
133.0,8,-1.5,101.2,1
64.0,8,-0.4,101.3,0
63.0,8,-0.7,101.3,0
62.0,8,-0.8,101.3,0
135.0,8,-1.4,101.2,1
61.0,8,-0.7,101.2,0
136.0,8,-1.2,101.2,1
137.0,8,-1.0,101.9,1
139.0,8,-0.4,101.4,1
140.0,8,0.3,101.4,1
56.0,8,0.6,101.1,0
55.0,8,0.4,101.1,0
141.0,8,3.2,101.8,1
142.0,8,15.0,101.8,1
143.0,8,32.0,101.3,1
