# range_bin,doppler_bin,angle_deg,snr,zone_flag
152.0,8,0.6,101.6,0
151.0,8,0.5,101.7,0
148.0,8,0.3,101.8,1
150.0,8,0.6,101.7,0
47.0,8,-0.3,101.7,0
49.0,8,-1.0,101.7,0
180.0,8,0.4,101.7,0
177.0,8,-0.3,101.7,0
160.0,8,0.8,101.6,0
128.0,8,0.5,101.7,1
156.0,8,2.4,101.8,0
184.0,8,3.4,101.9,0
186.0,8,2.6,101.9,0
170.0,8,0.2,101.9,0
190.0,8,-6.2,101.8,0
193.0,8,4.1,101.9,0
153.0,8,4.7,101.8,0
144.0,8,-1.1,101.9,1
149.0,8,2.2,101.9,1
163.0,8,-2.0,101.9,0
183.0,8,7.3,101.9,0
168.0,8,-1.4,102.0,0
169.0,8,-1.5,102.2,0
176.0,8,-4.9,101.9,0
181.0,8,10.3,102.1,0
188.0,8,-0.2,102.1,0
189.0,8,-4.4,102.3,0
191.0,8,-6.6,102.0,0
192.0,8,11.2,102.2,0
146.0,8,5.1,102.2,1
145.0,8,8.3,102.0,1
143.0,8,8.1,102.3,1
142.0,8,1.7,102.1,1
139.0,8,0.6,102.3,1
138.0,8,0.8,102.1,1
147.0,8,31.3,101.9,1
71.0,8,0.1,101.4,0
167.0,8,0.0,101.4,0
182.0,8,-0.0,101.4,0
155.0,8,0.2,101.4,0
59.0,8,-0.0,101.4,0
45.0,8,0.1,101.4,0
133.0,8,-0.2,101.5,1
132.0,8,-0.2,101.6,1
128.0,8,-0.0,101.7,1
159.0,8,0.1,101.7,0
160.0,8,0.2,101.8,0
180.0,8,-0.3,101.8,0
161.0,8,0.2,101.6,0
162.0,8,0.2,101.7,0
127.0,8,0.0,101.6,1
60.0,8,0.1,101.7,0
126.0,8,-0.0,101.5,1
165.0,8,-0.2,101.5,0
125.0,8,-0.1,101.6,1
177.0,8,-0.1,101.7,0
175.0,8,-0.2,101.6,0
116.0,8,-0.8,101.6,1
151.0,8,0.3,101.7,0
152.0,8,0.4,101.7,0
136.0,8,0.2,101.8,1
137.0,8,0.1,101.6,1
154.0,8,0.7,101.7,0
171.0,8,0.5,101.5,0
50.0,8,-0.8,101.5,0
49.0,8,-0.7,101.7,0
48.0,8,-0.5,101.6,0
47.0,8,-0.4,101.7,0
46.0,8,-0.5,101.6,0
129.0,8,0.9,101.6,1
148.0,8,0.4,101.8,1
192.0,8,-1.9,102.1,0
139.0,8,-0.1,102.3,1
138.0,8,0.2,102.2,1
191.0,8,-3.9,102.0,0
190.0,8,-4.8,102.0,0
189.0,8,-3.3,102.4,0
188.0,8,1.1,102.0,0
193.0,8,3.1,101.9,0
142.0,8,-1.5,102.1,1
143.0,8,-1.5,102.4,1
186.0,8,6.7,101.9,0
185.0,8,6.1,101.9,0
184.0,8,5.4,102.0,0
183.0,8,4.8,101.9,0
163.0,8,0.5,101.9,0
181.0,8,3.9,102.1,0
147.0,8,1.9,101.9,1
144.0,8,0.9,101.9,1
145.0,8,2.5,101.9,1
149.0,8,4.2,102.0,1
176.0,8,-10.8,102.0,0
150.0,8,16.7,101.8,0
153.0,8,59.5,101.8,0
146.0,8,6.8,102.2,1
156.0,8,50.4,101.8,0
170.0,8,-3.2,102.1,0
169.0,8,-2.8,102.3,0
168.0,8,-5.5,101.9,0
164.0,8,-62.4,101.8,0
133.0,8,-0.1,101.4,1
155.0,8,0.2,101.4,0
140.0,8,-0.3,101.4,1
120.0,8,-0.0,101.4,1
166.0,8,-0.0,101.4,0
187.0,8,-0.1,101.4,0
132.0,8,-0.2,101.5,1
171.0,8,0.2,101.5,0
137.0,8,0.0,101.5,1
50.0,8,0.1,101.5,0
161.0,8,0.2,101.5,0
48.0,8,0.2,101.6,0
167.0,8,0.0,101.6,0
165.0,8,-0.2,101.6,0
116.0,8,-0.4,101.6,1
125.0,8,-0.1,101.6,1
126.0,8,-0.0,101.6,1
60.0,8,0.1,101.6,0
127.0,8,0.0,101.6,1
